날짜,역명,Passengers,Weekend,Post,Year,Date
2022-02-14,삼각지,2822,0,0,2022,1990-02-14
2022-02-14,신용산,7035,0,0,2022,1990-02-14
2022-02-15,녹사평(용산구청),1206,0,0,2022,1990-02-15
2022-02-15,삼각지,3013,0,0,2022,1990-02-15
2022-02-15,신용산,6931,0,0,2022,1990-02-15
2022-02-16,녹사평(용산구청),1220,0,0,2022,1990-02-16
2022-02-16,삼각지,2929,0,0,2022,1990-02-16
2022-02-16,신용산,6711,0,0,2022,1990-02-16
2022-02-17,녹사평(용산구청),1171,0,0,2022,1990-02-17
2022-02-17,삼각지,2887,0,0,2022,1990-02-17
2022-02-17,신용산,6665,0,0,2022,1990-02-17
2022-02-18,녹사평(용산구청),1155,0,0,2022,1990-02-18
2022-02-18,삼각지,2781,0,0,2022,1990-02-18
2022-02-18,신용산,6040,0,0,2022,1990-02-18
2022-02-21,녹사평(용산구청),1179,0,0,2022,1990-02-21
2022-02-21,삼각지,2640,0,0,2022,1990-02-21
2022-02-21,신용산,6665,0,0,2022,1990-02-21
2022-02-22,녹사평(용산구청),1216,0,0,2022,1990-02-22
2022-02-22,삼각지,2799,0,0,2022,1990-02-22
2022-02-22,신용산,6507,0,0,2022,1990-02-22
2022-02-23,녹사평(용산구청),1260,0,0,2022,1990-02-23
2022-02-23,삼각지,2768,0,0,2022,1990-02-23
2022-02-23,신용산,6556,0,0,2022,1990-02-23
2022-02-24,녹사평(용산구청),1210,0,0,2022,1990-02-24
2022-02-24,삼각지,2659,0,0,2022,1990-02-24
2022-02-24,신용산,6513,0,0,2022,1990-02-24
2022-02-25,녹사평(용산구청),1262,0,0,2022,1990-02-25
2022-02-25,삼각지,2666,0,0,2022,1990-02-25
2022-02-25,신용산,5949,0,0,2022,1990-02-25
2022-02-28,녹사평(용산구청),1113,0,0,2022,1990-02-28
2022-02-28,삼각지,2396,0,0,2022,1990-02-28
2022-02-28,신용산,5762,0,0,2022,1990-02-28
2022-03-01,녹사평(용산구청),365,0,0,2022,1990-03-01
2022-03-01,삼각지,634,0,0,2022,1990-03-01
2022-03-01,신용산,1332,0,0,2022,1990-03-01
2022-03-02,녹사평(용산구청),1269,0,0,2022,1990-03-02
2022-03-02,삼각지,2843,0,0,2022,1990-03-02
2022-03-02,신용산,6911,0,0,2022,1990-03-02
2022-03-03,녹사평(용산구청),1226,0,0,2022,1990-03-03
2022-03-03,삼각지,2926,0,0,2022,1990-03-03
2022-03-03,신용산,6643,0,0,2022,1990-03-03
2022-03-04,녹사평(용산구청),1202,0,0,2022,1990-03-04
2022-03-04,삼각지,2754,0,0,2022,1990-03-04
2022-03-04,신용산,6100,0,0,2022,1990-03-04
2022-03-07,녹사평(용산구청),1130,0,0,2022,1990-03-07
2022-03-07,삼각지,2754,0,0,2022,1990-03-07
2022-03-07,신용산,6752,0,0,2022,1990-03-07
2022-03-08,녹사평(용산구청),1188,0,0,2022,1990-03-08
2022-03-08,삼각지,2743,0,0,2022,1990-03-08
2022-03-08,신용산,6425,0,0,2022,1990-03-08
2022-03-09,녹사평(용산구청),435,0,0,2022,1990-03-09
2022-03-09,삼각지,712,0,0,2022,1990-03-09
2022-03-09,신용산,1424,0,0,2022,1990-03-09
